id;origem;area;categoria_interna;severidade;status;data_abertura;data_limite;descricao
AP-0001;Auditoria Interna;Tesouraria;Falha em controle de acesso;Crítico;Aberto;20/01/2026;15/06/2026;Acesso de operadores ao SLP fora do procedimento padrão durante o fechamento de Q4. Identificadas 12 transações sem aprovação dual.
AP-0002;Auditoria Externa;Tesouraria;Marcação a mercado divergente;Crítico;Aberto;26/02/2026;30/05/2026;Divergências sistemáticas em marcação de NTN-B longas vs. ANBIMA na ordem de 8-15 bps, sem justificativa documentada.
AP-0003;BCB;Tesouraria;Risco de liquidez intradia;Crítico;Aberto;16/03/2026;20/05/2026;Inspeção identificou 3 episódios de exposição intradia acima do limite interno sem alerta automático ao CRO.
AP-0004;Gestão;PIX e Pagamentos;Risco de fraude externa;Alto;Em remediação;24/03/2026;15/06/2026;Aumento de 340% em chargebacks PIX em fev/2026 vs. baseline. Painel de fraude identifica padrão de mules.
AP-0005;Gestão;PIX e Pagamentos;Risco de fraude externa;Alto;Em remediação;27/03/2026;01/06/2026;Falha em validação de chave PIX duplicada permitiu 47 transferências indevidas (~R$ 280k).
AP-0006;Gestão;PIX e Pagamentos;Risco de fraude externa;Médio;Em remediação;04/04/2026;23/07/2026;Tentativas de phishing direcionadas a clientes PJ via WhatsApp falsificando atendentes.
AP-0007;Auditoria Interna;Crédito PJ;Erro em provisão (4966);Médio;Aberto;24/03/2026;10/06/2026;Política de crédito não atualizada para clientes do agronegócio com exposição climática.
AP-0008;Auditoria Interna;Crédito PJ;Concentração de carteira;Médio;Em remediação;25/03/2026;09/08/2026;Documentação de garantias incompleta em 14 contratos amostrados (sample size 50).
AP-0009;Auditoria Interna;Crédito PJ;Erro em provisão (4966);Médio;Aberto;07/12/2025;13/08/2026;Modelo de rating PJ com data de validação vencida há 8 meses.
AP-0010;Gestão;Crédito PJ;Inadimplência relevante;Médio;Aberto;13/12/2025;12/07/2026;Concentração setorial em construção civil 4pp acima do limite interno.
AP-0011;Gestão;Crédito PJ;Concentração de carteira;Médio;Aberto;04/01/2026;12/06/2026;Recuperação judicial de cliente top-50 sem flag automático no CRM.
AP-0012;Auditoria Interna;Crédito PJ;Erro em provisão (4966);Médio;Aberto;30/12/2025;13/07/2026;Atraso médio na renovação de cadastro PJ (KYC) acima do SLA em 23%.
