id;processo_chassi_id;processo_nome;risco_chassi_id;risco_nome;severidade_inerente;declarado_por;data_declaracao;observacao
RD-0001;P0.B.2;Intermediacao Financeira (Credito);R0.U.1;Risco de Credito;5;Crédito PJ;15/01/2026;Risco principal do processo - inadimplência de contrapartes
RD-0002;P0.B.2;Intermediacao Financeira (Credito);R1.U.1.1;Inadimplencia (counterparty default);5;Crédito PJ;15/01/2026;Default counterparty
RD-0003;P0.B.2;Intermediacao Financeira (Credito);R1.U.1.3;Concentracao;4;Crédito PJ;15/01/2026;Concentração setorial em construção e agro
RD-0004;P0.B.2;Intermediacao Financeira (Credito);R1.U.1.4;Recuperacao (LGD);4;Crédito PJ;15/01/2026;Recuperação - LGD em revisão
RD-0005;P0.B.2;Intermediacao Financeira (Credito);R1.U.1.5;Garantias;3;Crédito PJ;15/01/2026;Garantias - documentação
RD-0006;P0.B.2;Intermediacao Financeira (Credito);R0.U.12;Risco de Modelo;4;Crédito PJ;15/01/2026;Modelo de rating PJ Mid-Market vencido
RD-0007;P0.B.2;Intermediacao Financeira (Credito);R0.U.4;Risco Operacional;3;Crédito PJ;15/01/2026;Operacional - falhas de processo
RD-0008;P0.B.2;Intermediacao Financeira (Credito);R0.U.6;Risco de Conformidade;3;Compliance;15/01/2026;Conformidade política de crédito
RD-0009;P0.B.3;Tesouraria e Mercados;R0.U.2;Risco de Mercado;5;Tesouraria;15/01/2026;Risco de mercado primary
RD-0010;P0.B.3;Tesouraria e Mercados;R0.U.3;Risco de Liquidez;5;Tesouraria;15/01/2026;Liquidez - LCR e NSFR
RD-0011;P0.B.3;Tesouraria e Mercados;R0.U.4;Risco Operacional;3;Tesouraria;15/01/2026;Operacional
RD-0012;P0.B.3;Tesouraria e Mercados;R0.B.1;Risco de descasamento de prazos (gap);5;Tesouraria;15/01/2026;Descasamento ALM
RD-0013;P0.B.3;Tesouraria e Mercados;R0.B.3;Risco de funding wholesale;4;Tesouraria;15/01/2026;Funding wholesale concentração
RD-0014;P0.B.3;Tesouraria e Mercados;R1.U.2.1;Taxa de juros (banking + trading book);4;Tesouraria;15/01/2026;Taxa de juros banking + trading book
RD-0015;P0.B.3;Tesouraria e Mercados;R1.U.3.1;Funding;5;Tesouraria;15/01/2026;Funding
RD-0016;P0.B.3;Tesouraria e Mercados;R1.U.3.3;Intradia;4;Tesouraria;15/01/2026;Liquidez intradia
RD-0017;P0.B.4;Cambio e Comercio Exterior;R0.U.2;Risco de Mercado;4;Mesa de Câmbio;15/01/2026;Risco cambial
RD-0018;P0.B.4;Cambio e Comercio Exterior;R0.U.4;Risco Operacional;3;Mesa de Câmbio;15/01/2026;Operacional - settlement
RD-0019;P0.B.4;Cambio e Comercio Exterior;R0.U.6;Risco de Conformidade;4;Mesa de Câmbio;15/01/2026;Conformidade RMCCI
RD-0020;P0.B.4;Cambio e Comercio Exterior;R0.U.8;Risco de PLD-FT;4;Mesa de Câmbio;15/01/2026;PLD em câmbio
RD-0021;P0.B.4;Cambio e Comercio Exterior;R1.U.2.2;Cambial;4;Mesa de Câmbio;15/01/2026;Cambial específico
RD-0022;P0.B.5;Meios de Pagamento e Liquidacao;R0.U.4;Risco Operacional;5;PIX e Pagamentos;15/01/2026;Operacional - core do PIX
RD-0023;P0.B.5;Meios de Pagamento e Liquidacao;R0.U.5;Risco Cibernetico;5;PIX e Pagamentos;15/01/2026;Cibersegurança - vetor crítico
RD-0024;P0.B.5;Meios de Pagamento e Liquidacao;R1.U.4.4;Eventos externos (fraude externa, desastres);5;PIX e Pagamentos;15/01/2026;Fraude externa
RD-0025;P0.B.5;Meios de Pagamento e Liquidacao;R1.U.5.1;Indisponibilidade;4;PIX e Pagamentos;15/01/2026;Indisponibilidade
RD-0026;P0.U.4;PLD-FT e Sancoes;R0.U.8;Risco de PLD-FT;5;PLD;15/01/2026;Risco principal do processo
RD-0027;P0.U.4;PLD-FT e Sancoes;R0.U.6;Risco de Conformidade;4;PLD;15/01/2026;Conformidade Circular 3978
RD-0028;P0.U.4;PLD-FT e Sancoes;R0.U.4;Risco Operacional;3;PLD;15/01/2026;Operacional
RD-0029;P0.U.7;Tecnologia da Informacao;R0.U.4;Risco Operacional;4;TI Corporativo;15/01/2026;Operacional - sistemas
RD-0030;P0.U.7;Tecnologia da Informacao;R0.U.5;Risco Cibernetico;5;TI Corporativo;15/01/2026;Cibersegurança
RD-0031;P0.U.7;Tecnologia da Informacao;R1.U.4.3;Sistemas e tecnologia;4;TI Corporativo;15/01/2026;Falha de sistemas
RD-0032;P0.U.7;Tecnologia da Informacao;R1.U.5.1;Indisponibilidade;4;TI Corporativo;15/01/2026;Indisponibilidade
RD-0033;P0.U.8;Seguranca Cibernetica;R0.U.5;Risco Cibernetico;5;Cibersegurança;15/01/2026;Risco principal
RD-0034;P0.U.8;Seguranca Cibernetica;R1.U.5.1;Indisponibilidade;4;Cibersegurança;15/01/2026;Indisponibilidade
RD-0035;P0.U.8;Seguranca Cibernetica;R1.U.5.2;Vazamento e confidencialidade;5;Cibersegurança;15/01/2026;Vazamento e confidencialidade
RD-0036;P0.U.8;Seguranca Cibernetica;R1.U.5.3;Integridade e fraude por intrusao;5;Cibersegurança;15/01/2026;Integridade e fraude por intrusão
RD-0037;P0.U.8;Seguranca Cibernetica;R1.U.5.4;Ransomware e extorsao;5;Cibersegurança;15/01/2026;Ransomware
RD-0038;P0.U.8;Seguranca Cibernetica;R0.U.13;Risco de Privacidade (LGPD);4;Cibersegurança;15/01/2026;Privacidade - vazamentos
RD-0039;P0.U.13;Ouvidoria e Atendimento ao Cliente;R0.U.7;Risco de Conduta;4;Ouvidoria;15/01/2026;Conduta - reclamações procedentes
